exercise_id,name,body_part,target_muscle,secondary_muscles,equipment,exercise_type,difficulty_level,instructions,source_dataset
ex_0e2eff7dc4,3/4 sit-up,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_a66a59d23a,Ab Roller,abdominals,abdominals,unknown,other,strength,unknown,unknown,gym_exercises
ex_b1ced5f64e,Ab bicycle,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_32a5b22d7e,Barbell Ab Rollout - On Knees,abdominals,abdominals,unknown,barbell,strength,unknown,unknown,gym_exercises
ex_3f76f9aa3b,Barbell roll-out,abdominals,abdominals,unknown,barbell,strength,unknown,unknown,gym_exercises
ex_7e9fffacfe,Bosu Ball Cable Crunch With Side Bends,abdominals,abdominals,unknown,cable,cardio,unknown,unknown,gym_exercises
ex_183fa12a02,Bottoms Up,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_a7b59c75e8,Butt-Ups,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_141e8f6f3c,Captain's chair knee raise,abdominals,abdominals,unknown,other,strength,unknown,unknown,gym_exercises
ex_49277dec10,Cocoons,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_444a476f69,Cross-Body Crunch,abdominals,abdominals,unknown,bodyweight,cardio,unknown,unknown,gym_exercises
ex_a56b665639,Crunch - Hands Overhead,abdominals,abdominals,unknown,bodyweight,cardio,unknown,unknown,gym_exercises
ex_f3dd1edd9e,Crunches,abdominals,abdominals,unknown,bodyweight,cardio,unknown,unknown,gym_exercises
ex_a045e1986d,Dead bug reach,abdominals,abdominals,unknown,bodyweight,strength,unknown,unknown,gym_exercises
ex_88ba4caef3,Decline Crunch,abdominals,abdominals,unknown,bodyweight,cardio,unknown,unknown,gym_exercises
ex_9178de1d1e,Decline bar press sit-up,abdominals,abdominals,unknown,barbell,strength,unknown,unknown,gym_exercises
ex_f441006306,Decline oblique crunch,abdominals,abdominals,unknown,unknown,cardio,unknown,unknown,gym_exercises
ex_5cfd5ead55,Decline reverse crunch,abdominals,abdominals,unknown,other,cardio,unknown,unknown,gym_exercises
ex_1a6215a93c,Dumbbell V-Sit Cross Jab,abdominals,abdominals,unknown,dumbbell,strength,unknown,unknown,gym_exercises
ex_79f461ce50,Dumbbell side bend,abdominals,abdominals,unknown,dumbbell,strength,unknown,unknown,gym_exercises
